drone_id,parameter,value,duration_s
FY1,speed_mps,132.0,4.584586697191938
FY1,speed_mps,132.66666666666666,4.5848829196136895
FY1,speed_mps,133.33333333333334,4.585171354032091
FY1,speed_mps,134.0,4.585453909117983
FY1,speed_mps,134.66666666666666,4.585731078506207
FY1,speed_mps,135.33333333333334,4.586000874600142
FY1,speed_mps,136.0,4.586264651751718
FY1,speed_mps,136.66666666666666,4.586522434448844
FY1,speed_mps,137.33333333333334,4.586773215837949
FY1,speed_mps,138.0,4.5870178401626625
FY1,speed_mps,138.66666666666666,4.5872558976200635
FY1,speed_mps,139.33333333333334,4.5874872859373195
FY1,speed_mps,140.0,4.587712375187364
FY2,heading_offset_deg,-2.0,0.0
FY2,heading_offset_deg,-1.875,0.0
FY2,heading_offset_deg,-1.75,0.0
FY2,heading_offset_deg,-1.625,0.0
FY2,heading_offset_deg,-1.5,0.0
FY2,heading_offset_deg,-1.375,0.0
FY2,heading_offset_deg,-1.25,0.0
FY2,heading_offset_deg,-1.125,0.0
FY2,heading_offset_deg,-1.0,0.0
FY2,heading_offset_deg,-0.875,0.0
FY2,heading_offset_deg,-0.75,0.0
FY2,heading_offset_deg,-0.625,0.0
FY2,heading_offset_deg,-0.5,0.0
FY2,heading_offset_deg,-0.375,0.0
FY2,heading_offset_deg,-0.25,0.0
FY2,heading_offset_deg,-0.125,0.0
FY2,heading_offset_deg,0.0,0.0
FY2,heading_offset_deg,0.125,0.0
FY2,heading_offset_deg,0.25,0.0
FY2,heading_offset_deg,0.375,0.0
FY2,heading_offset_deg,0.5,0.0
FY2,heading_offset_deg,0.625,0.0
FY2,heading_offset_deg,0.75,0.0
FY2,heading_offset_deg,0.875,0.0
FY2,heading_offset_deg,1.0,0.0
FY2,heading_offset_deg,1.125,0.0
FY2,heading_offset_deg,1.25,0.0
FY2,heading_offset_deg,1.375,0.0
FY2,heading_offset_deg,1.5,0.0
FY2,heading_offset_deg,1.625,0.0
FY2,heading_offset_deg,1.75,0.0
FY2,heading_offset_deg,1.875,0.0
FY2,heading_offset_deg,2.0,0.0
FY2,speed_mps,99.7465028251595,0.0
FY2,speed_mps,100.7465028251595,0.0
FY2,speed_mps,101.7465028251595,0.0
FY2,speed_mps,102.7465028251595,0.0
FY2,speed_mps,103.7465028251595,0.0
FY2,speed_mps,104.7465028251595,0.0
FY2,speed_mps,105.7465028251595,0.0
FY2,speed_mps,106.7465028251595,0.0
FY2,speed_mps,107.7465028251595,0.0
FY2,speed_mps,108.7465028251595,0.0
FY2,speed_mps,109.7465028251595,0.0
FY2,speed_mps,110.7465028251595,0.0
FY2,speed_mps,111.7465028251595,0.0
FY2,speed_mps,112.7465028251595,0.0
FY2,speed_mps,113.7465028251595,0.0
FY2,speed_mps,114.7465028251595,0.0
FY2,speed_mps,115.7465028251595,0.0
FY2,speed_mps,116.7465028251595,0.0
FY2,speed_mps,117.7465028251595,0.0
FY2,speed_mps,118.7465028251595,0.0
FY2,speed_mps,119.7465028251595,0.0
FY2,speed_mps,120.7465028251595,0.0
FY2,speed_mps,121.7465028251595,0.0
FY2,speed_mps,122.7465028251595,0.0
FY2,speed_mps,123.7465028251595,0.0
FY2,speed_mps,124.7465028251595,0.0
FY2,speed_mps,125.7465028251595,0.0
FY2,speed_mps,126.7465028251595,0.0
FY2,speed_mps,127.7465028251595,0.0
FY2,speed_mps,128.7465028251595,0.0
FY2,speed_mps,129.7465028251595,0.0
FY3,heading_offset_deg,-2.0,0.0
FY3,heading_offset_deg,-1.875,0.0
FY3,heading_offset_deg,-1.75,0.0
FY3,heading_offset_deg,-1.625,0.0
FY3,heading_offset_deg,-1.5,0.0
FY3,heading_offset_deg,-1.375,0.0
FY3,heading_offset_deg,-1.25,0.0
FY3,heading_offset_deg,-1.125,0.0
FY3,heading_offset_deg,-1.0,0.0
FY3,heading_offset_deg,-0.875,0.0
FY3,heading_offset_deg,-0.75,0.0
FY3,heading_offset_deg,-0.625,0.0
FY3,heading_offset_deg,-0.5,1.209515299702467
FY3,heading_offset_deg,-0.375,2.6015518135835336
FY3,heading_offset_deg,-0.25,2.896453983163923
FY3,heading_offset_deg,-0.125,3.0635086012004287
FY3,heading_offset_deg,0.0,3.1183450068376466
FY3,heading_offset_deg,0.125,2.9716229239463594
FY3,heading_offset_deg,0.25,2.773145181400995
FY3,heading_offset_deg,0.375,2.516011049882515
FY3,heading_offset_deg,0.5,1.5007958542971593
FY3,heading_offset_deg,0.625,0.0
FY3,heading_offset_deg,0.75,0.0
FY3,heading_offset_deg,0.875,0.0
FY3,heading_offset_deg,1.0,0.0
FY3,heading_offset_deg,1.125,0.0
FY3,heading_offset_deg,1.25,0.0
FY3,heading_offset_deg,1.375,0.0
FY3,heading_offset_deg,1.5,0.0
FY3,heading_offset_deg,1.625,0.0
FY3,heading_offset_deg,1.75,0.0
FY3,heading_offset_deg,1.875,0.0
FY3,heading_offset_deg,2.0,0.0
FY3,speed_mps,112.66917535866548,0.0
FY3,speed_mps,113.58020284670997,0.0
FY3,speed_mps,114.49123033475445,0.0
FY3,speed_mps,115.40225782279893,0.0
FY3,speed_mps,116.31328531084343,0.0
FY3,speed_mps,117.22431279888791,0.0
FY3,speed_mps,118.13534028693239,0.0
FY3,speed_mps,119.04636777497687,0.0
FY3,speed_mps,119.95739526302135,0.0
FY3,speed_mps,120.86842275106584,0.0
FY3,speed_mps,121.77945023911032,0.0
FY3,speed_mps,122.69047772715481,0.0
FY3,speed_mps,123.6015052151993,0.0
FY3,speed_mps,124.51253270324378,0.0
FY3,speed_mps,125.42356019128826,0.0
FY3,speed_mps,126.33458767933274,0.0
FY3,speed_mps,127.24561516737722,0.0
FY3,speed_mps,128.1566426554217,0.0
FY3,speed_mps,129.0676701434662,0.0
FY3,speed_mps,129.97869763151067,0.0
FY3,speed_mps,130.88972511955515,0.0
FY3,speed_mps,131.80075260759963,0.0
FY3,speed_mps,132.71178009564414,2.9231044282496477
FY3,speed_mps,133.6228075836886,0.0
FY3,speed_mps,134.5338350717331,0.0
FY3,speed_mps,135.4448625597776,0.0
FY3,speed_mps,136.35589004782207,0.0
FY3,speed_mps,137.26691753586655,0.0
FY3,speed_mps,138.17794502391104,0.0
FY3,speed_mps,139.08897251195552,0.0
FY3,speed_mps,140.0,0.0
