time_s,centerline_distance_m,full_cylinder_worst_distance_m,centerline_projection_lambda,missile_cloud_distance_m
5.25733333,21.53319084,22.09221549,0.0673235438,1247.22893076
5.26126667,21.51683543,22.07535273,0.0672641909,1246.05005487
5.26520000,21.50047931,22.05848920,0.0672048304,1244.87117899
5.26913333,21.48412247,22.04162488,0.0671454624,1243.69230313
5.27306667,21.46776493,22.02475978,0.0670860867,1242.51342729
5.27700000,21.45140668,22.00789389,0.0670267036,1241.33455146
5.28093333,21.43504772,21.99102723,0.0669673128,1240.15567565
5.28486667,21.41868806,21.97415979,0.0669079145,1238.97679986
5.28880000,21.40232769,21.95729157,0.0668485086,1237.79792408
5.29273333,21.38596661,21.94042257,0.0667890952,1236.61904832
5.29666667,21.36960483,21.92355279,0.0667296741,1235.44017257
5.30060000,21.35324235,21.90668224,0.0666702455,1234.26129685
5.30453333,21.33687916,21.88981091,0.0666108094,1233.08242113
5.30846667,21.32051527,21.87293884,0.0665513656,1231.90354544
5.31240000,21.30415068,21.85606599,0.0664919143,1230.72466976
5.31633333,21.28778539,21.83919237,0.0664324554,1229.54579410
5.32026667,21.27141940,21.82231798,0.0663729889,1228.36691845
5.32420000,21.25505270,21.80544281,0.0663135148,1227.18804282
5.32813333,21.23868531,21.78856687,0.0662540331,1226.00916721
5.33206667,21.22231722,21.77169015,0.0661945439,1224.83029161
5.33600000,21.20594844,21.75481267,0.0661350470,1223.65141603
5.33993333,21.18957895,21.73793442,0.0660755426,1222.47254047
5.34386667,21.17320877,21.72105540,0.0660160306,1221.29366492
5.34780000,21.15683789,21.70417560,0.0659565109,1220.11478940
5.35173333,21.14046632,21.68729504,0.0658969837,1218.93591389
5.35566667,21.12409406,21.67041372,0.0658374489,1217.75703839
5.35960000,21.10772110,21.65353162,0.0657779065,1216.57816291
5.36353333,21.09134745,21.63664876,0.0657183565,1215.39928745
5.36746667,21.07497311,21.61976514,0.0656587989,1214.22041201
5.37140000,21.05859807,21.60288075,0.0655992337,1213.04153659
5.37533333,21.04222235,21.58599560,0.0655396609,1211.86266118
5.37926667,21.02584593,21.56910968,0.0654800805,1210.68378579
5.38320000,21.00946883,21.55222300,0.0654204925,1209.50491041
5.38713333,20.99309104,21.53533556,0.0653608969,1208.32603506
5.39106667,20.97671256,21.51844736,0.0653012937,1207.14715972
5.39500000,20.96033339,21.50155840,0.0652416829,1205.96828440
5.39893333,20.94395354,21.48466867,0.0651820644,1204.78940910
5.40286667,20.92757300,21.46777819,0.0651224384,1203.61053381
5.40680000,20.91119178,21.45088695,0.0650628047,1202.43165854
5.41073333,20.89480987,21.43399496,0.0650031634,1201.25278329
5.41466667,20.87842728,21.41710221,0.0649435145,1200.07390806
5.41860000,20.86204401,21.40020870,0.0648838580,1198.89503285
5.42253333,20.84566006,21.38331444,0.0648241938,1197.71615765
5.42646667,20.82927543,21.36641942,0.0647645221,1196.53728247
5.43040000,20.81289011,21.34952365,0.0647048427,1195.35840731
5.43433333,20.79650412,21.33262712,0.0646451557,1194.17953217
5.43826667,20.78011745,21.31572985,0.0645854610,1193.00065704
5.44220000,20.76373010,21.29883182,0.0645257588,1191.82178194
5.44613333,20.74734208,21.28193304,0.0644660489,1190.64290685
5.45006667,20.73095338,21.26503351,0.0644063314,1189.46403178
5.45400000,20.71456400,21.24813324,0.0643466062,1188.28515673
5.45793333,20.69817395,21.23123221,0.0642868734,1187.10628170
5.46186667,20.68178322,21.21433044,0.0642271330,1185.92740669
5.46580000,20.66539183,21.19742792,0.0641673849,1184.74853169
5.46973333,20.64899976,21.18052466,0.0641076293,1183.56965671
5.47366667,20.63260702,21.16362065,0.0640478659,1182.39078175
5.47760000,20.61621361,21.14671590,0.0639880949,1181.21190682
5.48153333,20.59981953,21.12981040,0.0639283163,1180.03303189
5.48546667,20.58342478,21.11290416,0.0638685301,1178.85415699
5.48940000,20.56702936,21.09599718,0.0638087362,1177.67528211
5.49333333,20.55063328,21.07908946,0.0637489346,1176.49640725
5.49726667,20.53423653,21.06218099,0.0636891254,1175.31753240
5.50120000,20.51783911,21.04527179,0.0636293086,1174.13865757
5.50513333,20.50144103,21.02836185,0.0635694841,1172.95978277
5.50906667,20.48504229,21.01145117,0.0635096519,1171.78090798
5.51300000,20.46864289,20.99453976,0.0634498121,1170.60203321
5.51693333,20.45224282,20.97762761,0.0633899647,1169.42315846
5.52086667,20.43584209,20.96071472,0.0633301096,1168.24428373
5.52480000,20.41944070,20.94380110,0.0632702468,1167.06540902
5.52873333,20.40303865,20.92688675,0.0632103764,1165.88653433
5.53266667,20.38663594,20.90997166,0.0631504983,1164.70765966
5.53660000,20.37023258,20.89305584,0.0630906125,1163.52878501
5.54053333,20.35382856,20.87613929,0.0630307191,1162.34991037
5.54446667,20.33742388,20.85922201,0.0629708180,1161.17103576
5.54840000,20.32101855,20.84230401,0.0629109093,1159.99216117
5.55233333,20.30461256,20.82538527,0.0628509928,1158.81328660
5.55626667,20.28820592,20.80846581,0.0627910688,1157.63441204
5.56020000,20.27179863,20.79154561,0.0627311370,1156.45553751
5.56413333,20.25539068,20.77462470,0.0626711976,1155.27666300
5.56806667,20.23898209,20.75770306,0.0626112505,1154.09778850
5.57200000,20.22257284,20.74078069,0.0625512957,1152.91891403
5.57593333,20.20616295,20.72385760,0.0624913332,1151.74003958
5.57986667,20.18975241,20.70693379,0.0624313631,1150.56116514
5.58380000,20.17334122,20.69000926,0.0623713853,1149.38229073
5.58773333,20.15692939,20.67308401,0.0623113998,1148.20341634
5.59166667,20.14051691,20.65615804,0.0622514066,1147.02454197
5.59560000,20.12410379,20.63923135,0.0621914057,1145.84566762
5.59953333,20.10769002,20.62230394,0.0621313972,1144.66679329
5.60346667,20.09127562,20.60537581,0.0620713809,1143.48791898
5.60740000,20.07486057,20.58844697,0.0620113570,1142.30904469
5.61133333,20.05844488,20.57151742,0.0619513254,1141.13017042
5.61526667,20.04202855,20.55458715,0.0618912861,1139.95129617
5.61920000,20.02561158,20.53765617,0.0618312391,1138.77242194
5.62313333,20.00919398,20.52072447,0.0617711844,1137.59354774
5.62706667,19.99277573,20.50379207,0.0617111220,1136.41467355
5.63100000,19.97635686,20.48685895,0.0616510519,1135.23579939
5.63493333,19.95993735,20.46992513,0.0615909741,1134.05692525
5.63886667,19.94351720,20.45299059,0.0615308886,1132.87805112
5.64280000,19.92709642,20.43605535,0.0614707954,1131.69917702
5.64673333,19.91067501,20.41911941,0.0614106945,1130.52030294
5.65066667,19.89425297,20.40218276,0.0613505859,1129.34142889
5.65460000,19.87783030,20.38524540,0.0612904696,1128.16255485
5.65853333,19.86140700,20.36830734,0.0612303456,1126.98368084
5.66246667,19.84498308,20.35136858,0.0611702138,1125.80480684
5.66640000,19.82855852,20.33442911,0.0611100744,1124.62593287
5.67033333,19.81213334,20.31748895,0.0610499272,1123.44705892
5.67426667,19.79570754,20.30054809,0.0609897724,1122.26818499
5.67820000,19.77928111,20.28360652,0.0609296098,1121.08931109
5.68213333,19.76285406,20.26666426,0.0608694395,1119.91043720
5.68606667,19.74642639,20.24972131,0.0608092615,1118.73156334
5.69000000,19.72999810,20.23277766,0.0607490757,1117.55268950
5.69393333,19.71356919,20.21583331,0.0606888823,1116.37381569
5.69786667,19.69713966,20.19888827,0.0606286811,1115.19494189
5.70180000,19.68070951,20.18194254,0.0605684722,1114.01606812
5.70573333,19.66427875,20.16499611,0.0605082556,1112.83719437
5.70966667,19.64784737,20.14804900,0.0604480312,1111.65832064
5.71360000,19.63141537,20.13110120,0.0603877991,1110.47944693
5.71753333,19.61498277,20.11415271,0.0603275593,1109.30057325
5.72146667,19.59854955,20.09720353,0.0602673117,1108.12169959
5.72540000,19.58211572,20.08025366,0.0602070565,1106.94282595
5.72933333,19.56568127,20.06330311,0.0601467934,1105.76395233
5.73326667,19.54924623,20.04635188,0.0600865227,1104.58507874
5.73720000,19.53281057,20.02939996,0.0600262442,1103.40620517
5.74113333,19.51637430,20.01244736,0.0599659580,1102.22733163
5.74506667,19.49993743,19.99549409,0.0599056640,1101.04845810
5.74900000,19.48349996,19.97854013,0.0598453623,1099.86958460
5.75293333,19.46706188,19.96158549,0.0597850528,1098.69071113
5.75686667,19.45062320,19.94463017,0.0597247356,1097.51183767
5.76080000,19.43418392,19.92767418,0.0596644107,1096.33296424
5.76473333,19.41774404,19.91071751,0.0596040780,1095.15409084
5.76866667,19.40130356,19.89376017,0.0595437375,1093.97521745
5.77260000,19.38486248,19.87680216,0.0594833893,1092.79634409
5.77653333,19.36842080,19.85984347,0.0594230334,1091.61747076
5.78046667,19.35197853,19.84288411,0.0593626697,1090.43859745
5.78440000,19.33553566,19.82592408,0.0593022982,1089.25972416
5.78833333,19.31909220,19.80896339,0.0592419190,1088.08085089
5.79226667,19.30264815,19.79200202,0.0591815320,1086.90197765
5.79620000,19.28620351,19.77503999,0.0591211373,1085.72310444
5.80013333,19.26975828,19.75807729,0.0590607348,1084.54423124
5.80406667,19.25331245,19.74111393,0.0590003245,1083.36535808
5.80800000,19.23686605,19.72414991,0.0589399065,1082.18648493
5.81193333,19.22041905,19.70718523,0.0588794807,1081.00761181
5.81586667,19.20397147,19.69021988,0.0588190471,1079.82873872
5.81980000,19.18752330,19.67325388,0.0587586058,1078.64986565
5.82373333,19.17107456,19.65628721,0.0586981567,1077.47099260
5.82766667,19.15462523,19.63931989,0.0586376998,1076.29211958
5.83160000,19.13817532,19.62235191,0.0585772351,1075.11324659
5.83553333,19.12172483,19.60538328,0.0585167627,1073.93437362
5.83946667,19.10527376,19.58841400,0.0584562825,1072.75550067
5.84340000,19.08882212,19.57144406,0.0583957945,1071.57662775
5.84733333,19.07236990,19.55447347,0.0583352988,1070.39775485
5.85126667,19.05591710,19.53750223,0.0582747952,1069.21888198
5.85520000,19.03946374,19.52053034,0.0582142839,1068.04000914
5.85913333,19.02300980,19.50355781,0.0581537648,1066.86113632
5.86306667,19.00655529,19.48658463,0.0580932379,1065.68226352
5.86700000,18.99010021,19.46961080,0.0580327032,1064.50339075
5.87093333,18.97364456,19.45263633,0.0579721608,1063.32451801
5.87486667,18.95718835,19.43566122,0.0579116105,1062.14564529
5.87880000,18.94073157,19.41868546,0.0578510525,1060.96677260
5.88273333,18.92427422,19.40170910,0.0577904866,1059.78789994
5.88666667,18.90781631,19.38473211,0.0577299130,1058.60902730
5.89060000,18.89135785,19.36775447,0.0576693315,1057.43015468
5.89453333,18.87489882,19.35077621,0.0576087423,1056.25128209
5.89846667,18.85843923,19.33379730,0.0575481453,1055.07240953
5.90240000,18.84197908,19.31681776,0.0574875405,1053.89353700
5.90633333,18.82551838,19.29983759,0.0574269278,1052.71466449
5.91026667,18.80905712,19.28285679,0.0573663074,1051.53579201
5.91420000,18.79259530,19.26587536,0.0573056791,1050.35691955
5.91813333,18.77613294,19.24889330,0.0572450431,1049.17804712
5.92206667,18.75967002,19.23191061,0.0571843992,1047.99917472
5.92600000,18.74320655,19.21492730,0.0571237476,1046.82030234
5.92993333,18.72674254,19.19794336,0.0570630881,1045.64142999
5.93386667,18.71027797,19.18095880,0.0570024208,1044.46255767
5.93780000,18.69381286,19.16397362,0.0569417457,1043.28368538
5.94173333,18.67734721,19.14698781,0.0568810628,1042.10481311
5.94566667,18.66088101,19.13000139,0.0568203720,1040.92594087
5.94960000,18.64441427,19.11301435,0.0567596735,1039.74706866
5.95353333,18.62794699,19.09602669,0.0566989671,1038.56819648
5.95746667,18.61147917,19.07903841,0.0566382529,1037.38932432
5.96140000,18.59501082,19.06204953,0.0565775309,1036.21045219
5.96533333,18.57854192,19.04506003,0.0565168010,1035.03158009
5.96926667,18.56207249,19.02806991,0.0564560633,1033.85270801
5.97320000,18.54560253,19.01107919,0.0563953178,1032.67383597
5.97713333,18.52913204,18.99408786,0.0563345645,1031.49496395
5.98106667,18.51266101,18.97709593,0.0562738033,1030.31609196
5.98500000,18.49618946,18.96010338,0.0562130343,1029.13722000
5.98893333,18.47971737,18.94311024,0.0561522575,1027.95834807
5.99286667,18.46324476,18.92611649,0.0560914728,1026.77947616
5.99680000,18.44677163,18.90912214,0.0560306803,1025.60060429
6.00073333,18.43029797,18.89212719,0.0559698800,1024.42173244
6.00466667,18.41382379,18.87513164,0.0559090718,1023.24286062
6.00860000,18.39734909,18.85813549,0.0558482558,1022.06398883
6.01253333,18.38087387,18.84113875,0.0557874319,1020.88511707
6.01646667,18.36439813,18.82414141,0.0557266002,1019.70624534
6.02040000,18.34792188,18.80714348,0.0556657606,1018.52737364
6.02433333,18.33144511,18.79014496,0.0556049132,1017.34850196
6.02826667,18.31496782,18.77314585,0.0555440580,1016.16963032
6.03220000,18.29849003,18.75614615,0.0554831949,1014.99075870
6.03613333,18.28201172,18.73914587,0.0554223239,1013.81188712
6.04006667,18.26553291,18.72214500,0.0553614451,1012.63301556
6.04400000,18.24905359,18.70514354,0.0553005585,1011.45414404
6.04793333,18.23257376,18.68814151,0.0552396639,1010.27527254
6.05186667,18.21609343,18.67113889,0.0551787616,1009.09640108
6.05580000,18.19961259,18.65413569,0.0551178513,1007.91752964
6.05973333,18.18313126,18.63713192,0.0550569332,1006.73865824
6.06366667,18.16664942,18.62012756,0.0549960072,1005.55978686
6.06760000,18.15016709,18.60312264,0.0549350734,1004.38091552
6.07153333,18.13368426,18.58611714,0.0548741317,1003.20204420
6.07546667,18.11720093,18.56911107,0.0548131822,1002.02317292
6.07940000,18.10071711,18.55210443,0.0547522247,1000.84430167
6.08333333,18.08423280,18.53509722,0.0546912594,999.66543045
6.08726667,18.06774800,18.51808944,0.0546302863,998.48655925
6.09120000,18.05126271,18.50108110,0.0545693052,997.30768810
6.09513333,18.03477694,18.48407220,0.0545083163,996.12881697
6.09906667,18.01829067,18.46706273,0.0544473195,994.94994587
6.10300000,18.00180393,18.45005270,0.0543863148,993.77107480
6.10693333,17.98531670,18.43304211,0.0543253023,992.59220377
6.11086667,17.96882899,18.41603097,0.0542642818,991.41333277
6.11480000,17.95234080,18.39901927,0.0542032535,990.23446180
6.11873333,17.93585214,18.38200701,0.0541422173,989.05559086
6.12266667,17.91936300,18.36499421,0.0540811732,987.87671995
6.12660000,17.90287338,18.34798085,0.0540201212,986.69784907
6.13053333,17.88638330,18.33096694,0.0539590614,985.51897823
6.13446667,17.86989274,18.31395249,0.0538979936,984.34010742
6.13840000,17.85340171,18.29693749,0.0538369180,983.16123664
6.14233333,17.83691022,18.27992194,0.0537758344,981.98236590
6.14626667,17.82041826,18.26290586,0.0537147430,980.80349518
6.15020000,17.80392584,18.24588923,0.0536536437,979.62462450
6.15413333,17.78743295,18.22887206,0.0535925364,978.44575385
6.15806667,17.77093960,18.21185436,0.0535314213,977.26688324
6.16200000,17.75444580,18.19483612,0.0534702983,976.08801266
6.16593333,17.73795154,18.17781734,0.0534091673,974.90914211
6.16986667,17.72145682,18.16079804,0.0533480285,973.73027160
6.17380000,17.70496165,18.14377820,0.0532868817,972.55140111
6.17773333,17.68846603,18.12675784,0.0532257271,971.37253067
6.18166667,17.67196995,18.10973694,0.0531645645,970.19366025
6.18560000,17.65547343,18.09271552,0.0531033941,969.01478987
6.18953333,17.63897647,18.07569358,0.0530422157,967.83591953
6.19346667,17.62247906,18.05867112,0.0529810294,966.65704922
6.19740000,17.60598120,18.04164814,0.0529198352,965.47817894
6.20133333,17.58948291,18.02462464,0.0528586331,964.29930869
6.20526667,17.57298417,18.00760062,0.0527974230,963.12043849
6.20920000,17.55648500,17.99057609,0.0527362051,961.94156831
6.21313333,17.53998539,17.97355104,0.0526749792,960.76269817
6.21706667,17.52348535,17.95652548,0.0526137454,959.58382807
6.22100000,17.50698488,17.93949942,0.0525525036,958.40495800
6.22493333,17.49048397,17.92247285,0.0524912540,957.22608796
6.22886667,17.47398264,17.90544577,0.0524299964,956.04721796
6.23280000,17.45748088,17.88841819,0.0523687309,954.86834800
6.23673333,17.44097870,17.87139010,0.0523074574,953.68947807
6.24066667,17.42447609,17.85436152,0.0522461761,952.51060818
6.24460000,17.40797307,17.83733244,0.0521848868,951.33173832
6.24853333,17.39146962,17.82030286,0.0521235895,950.15286850
6.25246667,17.37496576,17.80327279,0.0520622843,948.97399872
6.25640000,17.35846149,17.78624223,0.0520009712,947.79512897
6.26033333,17.34195680,17.76921117,0.0519396502,946.61625925
6.26426667,17.32545170,17.75217963,0.0518783212,945.43738958
6.26820000,17.30894619,17.73514760,0.0518169842,944.25851994
6.27213333,17.29244027,17.71811509,0.0517556394,943.07965034
6.27606667,17.27593395,17.70108209,0.0516942865,941.90078077
6.28000000,17.25942722,17.68404861,0.0516329258,940.72191124
6.28393333,17.24292010,17.66701466,0.0515715570,939.54304175
6.28786667,17.22641257,17.64998023,0.0515101804,938.36417229
6.29180000,17.20990465,17.63294532,0.0514487957,937.18530288
6.29573333,17.19339633,17.61590994,0.0513874032,936.00643350
6.29966667,17.17688762,17.59887410,0.0513260026,934.82756416
6.30360000,17.16037851,17.58183782,0.0512645941,933.64869485
6.30753333,17.14386902,17.56480108,0.0512031777,932.46982559
6.31146667,17.12735914,17.54776388,0.0511417533,931.29095636
6.31540000,17.11084888,17.53072621,0.0510803209,930.11208717
6.31933333,17.09433823,17.51368808,0.0510188806,928.93321802
6.32326667,17.07782720,17.49664949,0.0509574323,927.75434890
6.32720000,17.06131579,17.47961044,0.0508959760,926.57547983
6.33113333,17.04480401,17.46257095,0.0508345118,925.39661080
6.33506667,17.02829185,17.44553099,0.0507730396,924.21774180
6.33900000,17.01177932,17.42849059,0.0507115594,923.03887284
6.34293333,16.99526641,17.41144974,0.0506500713,921.86000393
6.34686667,16.97875314,17.39440845,0.0505885752,920.68113505
6.35080000,16.96223951,17.37736671,0.0505270711,919.50226621
6.35473333,16.94572551,17.36032453,0.0504655590,918.32339741
6.35866667,16.92921114,17.34328190,0.0504040390,917.14452865
6.36260000,16.91269642,17.32623885,0.0503425110,915.96565993
6.36653333,16.89618134,17.30919535,0.0502809750,914.78679126
6.37046667,16.87966590,17.29215142,0.0502194310,913.60792262
6.37440000,16.86315011,17.27510707,0.0501578790,912.42905402
6.37833333,16.84663397,17.25806228,0.0500963190,911.25018546
6.38226667,16.83011748,17.24101706,0.0500347511,910.07131695
6.38620000,16.81360065,17.22397143,0.0499731752,908.89244847
6.39013333,16.79708347,17.20692537,0.0499115912,907.71358004
6.39406667,16.78056595,17.18987889,0.0498499993,906.53471165
6.39800000,16.76404809,17.17283199,0.0497883994,905.35584330
6.40193333,16.74752989,17.15578467,0.0497267915,904.17697499
6.40586667,16.73101135,17.13873695,0.0496651756,902.99810672
6.40980000,16.71449248,17.12168881,0.0496035517,901.81923849
6.41373333,16.69797328,17.10464026,0.0495419198,900.64037031
6.41766667,16.68145376,17.08759131,0.0494802799,899.46150217
6.42160000,16.66493390,17.07054196,0.0494186320,898.28263407
6.42553333,16.64841373,17.05349220,0.0493569761,897.10376602
6.42946667,16.63189323,17.03644204,0.0492953122,895.92489800
6.43340000,16.61537241,17.01939148,0.0492336403,894.74603003
6.43733333,16.59885128,17.00234054,0.0491719603,893.56716211
6.44126667,16.58232983,16.98528919,0.0491102724,892.38829422
6.44520000,16.56580807,16.96823746,0.0490485764,891.20942638
6.44913333,16.54928599,16.95118534,0.0489868725,890.03055859
6.45306667,16.53276362,16.93413284,0.0489251605,888.85169083
6.45700000,16.51624093,16.91707995,0.0488634405,887.67282313
6.46093333,16.49971795,16.90002668,0.0488017125,886.49395546
6.46486667,16.48319466,16.88297304,0.0487399764,885.31508784
6.46880000,16.46667108,16.86591901,0.0486782324,884.13622027
6.47273333,16.45014720,16.84886462,0.0486164803,882.95735274
6.47666667,16.43362303,16.83180985,0.0485547202,881.77848525
6.48060000,16.41709857,16.81475472,0.0484929520,880.59961781
6.48453333,16.40057382,16.79769922,0.0484311759,879.42075041
6.48846667,16.38404879,16.78064336,0.0483693917,878.24188306
6.49240000,16.36752348,16.76358714,0.0483075995,877.06301576
6.49633333,16.35099788,16.74653056,0.0482457992,875.88414850
6.50026667,16.33447201,16.72947362,0.0481839909,874.70528129
6.50420000,16.31794586,16.71241633,0.0481221746,873.52641412
6.50813333,16.30141944,16.69535869,0.0480603502,872.34754700
6.51206667,16.28489275,16.67830070,0.0479985178,871.16867993
6.51600000,16.26836579,16.66124236,0.0479366774,869.98981290
6.51993333,16.25183856,16.64418369,0.0478748289,868.81094593
6.52386667,16.23531108,16.62712467,0.0478129724,867.63207899
6.52780000,16.21878333,16.61006531,0.0477511078,866.45321211
6.53173333,16.20225533,16.59300562,0.0476892352,865.27434527
6.53566667,16.18572708,16.57594560,0.0476273545,864.09547848
6.53960000,16.16919857,16.55888525,0.0475654658,862.91661174
6.54353333,16.15266981,16.54182457,0.0475035690,861.73774505
6.54746667,16.13614081,16.52476357,0.0474416642,860.55887840
6.55140000,16.11961157,16.50770224,0.0473797513,859.38001180
6.55533333,16.10308208,16.49064060,0.0473178304,858.20114526
6.55926667,16.08655235,16.47357864,0.0472559014,857.02227876
6.56320000,16.07002239,16.45651636,0.0471939643,855.84341231
6.56713333,16.05349220,16.43945377,0.0471320192,854.66454591
6.57106667,16.03696178,16.42239088,0.0470700661,853.48567956
6.57500000,16.02043113,16.40532768,0.0470081048,852.30681325
6.57893333,16.00390025,16.38826418,0.0469461355,851.12794700
6.58286667,15.98736916,16.37120038,0.0468841581,849.94908080
6.58680000,15.97083784,16.35413628,0.0468221727,848.77021465
6.59073333,15.95430631,16.33707189,0.0467601792,847.59134855
6.59466667,15.93777457,16.32000720,0.0466981776,846.41248250
6.59860000,15.92124262,16.30294223,0.0466361679,845.23361650
6.60253333,15.90471046,16.28587697,0.0465741502,844.05475055
6.60646667,15.88817809,16.26881143,0.0465121244,842.87588466
6.61040000,15.87164552,16.25174561,0.0464500905,841.69701881
6.61433333,15.85511276,16.23467951,0.0463880486,840.51815302
6.61826667,15.83857979,16.21761314,0.0463259985,839.33928728
6.62220000,15.82204664,16.20054649,0.0462639404,838.16042159
6.62613333,15.80551329,16.18347962,0.0462018742,836.98155596
6.63006667,15.78897976,16.16641250,0.0461397999,835.80269037
6.63400000,15.77244605,16.14934511,0.0460777175,834.62382484
6.63793333,15.75591215,16.13227746,0.0460156270,833.44495937
6.64186667,15.73937807,16.11520955,0.0459535284,832.26609394
6.64580000,15.72284382,16.09814139,0.0458914218,831.08722857
6.64973333,15.70630940,16.08107298,0.0458293070,829.90836326
6.65366667,15.68977481,16.06400433,0.0457671842,828.72949800
6.65760000,15.67324005,16.04693542,0.0457050532,827.55063279
6.66153333,15.65670513,16.02986628,0.0456429142,826.37176764
6.66546667,15.64017005,16.01279690,0.0455807670,825.19290254
6.66940000,15.62363482,15.99572728,0.0455186118,824.01403749
6.67333333,15.60709943,15.97865744,0.0454564484,822.83517251
6.67726667,15.59056389,15.96158736,0.0453942770,821.65630757
6.68120000,15.57402820,15.94451706,0.0453320974,820.47744270
6.68513333,15.55749236,15.92744653,0.0452699097,819.29857788
6.68906667,15.54095639,15.91037579,0.0452077139,818.11971311
6.69300000,15.52442028,15.89330483,0.0451455100,816.94084840
6.69693333,15.50788403,15.87623365,0.0450832980,815.76198375
6.70086667,15.49134766,15.85916227,0.0450210779,814.58311916
6.70480000,15.47481115,15.84209068,0.0449588497,813.40425462
6.70873333,15.45827452,15.82501888,0.0448966133,812.22539014
6.71266667,15.44173777,15.80794689,0.0448343688,811.04652572
6.71660000,15.42520090,15.79087470,0.0447721162,809.86766136
6.72053333,15.40866391,15.77380231,0.0447098555,808.68879705
6.72446667,15.39212681,15.75672974,0.0446475867,807.50993280
6.72840000,15.37558961,15.73965697,0.0445853097,806.33106861
6.73233333,15.35905229,15.72258403,0.0445230246,805.15220448
6.73626667,15.34251488,15.70551090,0.0444607314,803.97334041
6.74020000,15.32597737,15.68843760,0.0443984300,802.79447640
6.74413333,15.30943976,15.67136412,0.0443361205,801.61561245
6.74806667,15.29290206,15.65429048,0.0442738029,800.43674856
6.75200000,15.27636428,15.63721666,0.0442114772,799.25788473
6.75593333,15.25982640,15.62014269,0.0441491433,798.07902096
6.75986667,15.24328845,15.60306855,0.0440868012,796.90015725
6.76380000,15.22675042,15.58599426,0.0440244511,795.72129360
6.76773333,15.21021231,15.56891981,0.0439620928,794.54243002
6.77166667,15.19367414,15.55184521,0.0438997263,793.36356649
6.77560000,15.17713589,15.53477047,0.0438373517,792.18470303
6.77953333,15.16059759,15.51769559,0.0437749689,791.00583963
6.78346667,15.14405922,15.50062057,0.0437125780,789.82697629
6.78740000,15.12752079,15.48354541,0.0436501790,788.64811301
6.79133333,15.11098231,15.46647012,0.0435877718,787.46924980
6.79526667,15.09444379,15.44939470,0.0435253565,786.29038665
6.79920000,15.07790521,15.43231916,0.0434629329,785.11152356
6.80313333,15.06136659,15.41524350,0.0434005013,783.93266054
6.80706667,15.04482794,15.39816772,0.0433380615,782.75379758
6.81100000,15.02828925,15.38109183,0.0432756135,781.57493469
6.81493333,15.01175053,15.36401582,0.0432131574,780.39607186
6.81886667,14.99521178,15.34693972,0.0431506931,779.21720910
6.82280000,14.97867301,15.32986350,0.0430882206,778.03834640
6.82673333,14.96213421,15.31278719,0.0430257400,776.85948376
